ID,speaker,affiliation,position,bio,title,abstract,topic,session,day,start_time,duration,end_time
,"Oscar Flindt Thomsen & Julie Thygesen Rydahl",Odense Robotics,,"<br><b>Oscar Flindt Thomsen</b>, Project Manager, Talent, Odense Robotics.<br><br><b>Julie Thygesen Rydahl</b>, Project Manager, Internationalisation, Odense Robotics.",Keynote 2: Odense Robotics,Odense Robotics – Denmark's national cluster for robot automation and drone technology. Learn about Odense Robotics our collaboration with international partners and how we nurture the talent driving tomorrow's innovations.,Keynote,We.K3,Wednesday 10th,14:00,30,14:30
,,,,,,,Coffee Break and meet the experts from UR,We.CB2,Wednesday 10th,14:30,30,15:00
,,,,,,,Showroom and Quality gate tour,We.T3,Wednesday 10th,15:00,45,15:45
,,,,,,,Networking,We.N,Wednesday 10th,15:45,45,16:30
,,,,,,,Transportation back to city center,We.T4,Wednesday 10th,16:30,20,16:50
,,,,,,"Oluf Bagers Gaard<br>
<br>
Dinner at modern Danish restaurant. <br>
Payment included in the registration fee. <br>
<br>
Address:<br>
Nørregade 29<br>
5000 Odense
<br>
<a href=""https://maps.app.goo.gl/CrSMyGvyNKPZMQ5T9"">Google Maps</a>",Dinner,We.Di,Wednesday 10th,18:00,,,
,Mashal Afzal Memon and Anjali Santhosh,University of L'Aquila,,,Adaptive Coordination of Multi Robot Systems: addressing Uncertainty while embracing Ethical-awareness,,Sessions & Discussions,Th1,Thursday 11th,09:00,20,09:20
,Vicente Romeiro Moraes,Ruhr Universität Bochum,,,Property Specification and Verification for Behaviour Trees,,Sessions & Discussions,Th1,Thursday 11th,09:20,20,09:40
,Diana Carolina Benjumea Hernandez,The University of Manchester,,,Instantiating an Architecture for Autonomous Robots in Highly Regulated Domains,,Sessions & Discussions,Th1,Thursday 11th,09:40,20,10:00
,Gianluca Filippone,Gran Sasso Science Institute,,,MULTI-3: Empowering Multi-Mission Multi-Robot and Multi-Instance Task Execution,,Sessions & Discussions,Th1,Thursday 11th,10:00,20,10:20
,,,,,,,Coffee Break,Th.CB1,Thursday 11th,10:20,15,10:35
,Taiga Suda and Takashi Yoshimi,Shibaura Institute of Technology,,,Application and evaluation of model predictive control (MPC) to a polishing robot system,,Sessions & Discussions,Th2,Thursday 11th,10:35,20,10:55
,Thorsten Berger,Ruhr University Bochum,,,Teaching Autonomous Driving,,Sessions & Discussions,Th2,Thursday 11th,10:55,20,11:15
,Gianluca Bardaro,Politecnico di Milano,,,Robot software in the era of large models,,Sessions & Discussions,Th2,Thursday 11th,11:15,20,11:35
,William Appleton Coolidge,SDU Software Engineering,,,Robot program structure implications from the use of semantic data,,Sessions & Discussions,Th2,Thursday 11th,11:35,20,11:55
,,,,,,,Lunch,Th.Lu,Thursday 11th,11:55,50,12:45
,Yoganata Kristanto,SDU Software Engineering,,,Visual Representation Techniques for Comprehension of Cobotic Program Execution and Future Reuse,,Sessions & Discussions,Th3,Thursday 11th,12:45,20,13:05
,Juan Antonio Pinera Garcia,Gran Sasso Science Institute,,,Adaptation in Heterogeneous Multirobot systems via LLMs,,Sessions & Discussions,Th3,Thursday 11th,13:05,20,13:25
,Jude Gyimah,Ruhr University Bochum,,,Quality Aspects of Robot Mission Requirements for Mission Modeling and Synthesis,,Sessions & Discussions,Th3,Thursday 11th,13:25,20,13:45
,Forough Zamani,Delft University of Technology (TU Delft) Cognitive Robotics Department,,,A Causal Modeling Approach for Self-Tuning the ROS 2 Navigation Stack,,Sessions & Discussions,Th3,Thursday 11th,13:45,20,14:05
,,,,,,,Coffee Break,Th.CB2,Thursday 11th,14:05,15,14:20
,Yorick Sens,Ruhr University Bochum,,,Safeguarding ML-enabled Systems,,Sessions & Discussions,Th4,Thursday 11th,14:20,20,14:40
,Taichi Ishikawa and Takashi Yoshimi,Shibaura Institute of Technology,,,Consideration and verification of a decoration sticker attachment motion to the candle side surface by a robot arm,,Sessions & Discussions,Th4,Thursday 11th,14:40,20,15:00
,Sara Pettinari,Gran Sasso Science Institute,,,Enhancing Robotic Mission Analysis via Process Mining and Visual Analytics,,Sessions & Discussions,Th4,Thursday 11th,15:00,20,15:20
,Mukelabai Mukelabai,Ruhr-University Bochum,,,Data-Driven Fault Localization in Practice: A Survey,,Sessions & Discussions,Th4,Thursday 11th,15:20,20,15:40
,,,,,,,Round Table Discussions / Closing Remarks,Th.RT,Thursday 11th,15:40,50,16:30
